@relation training6

@attribute GNoAffS numeric
@attribute GVL numeric
@attribute GFTime numeric

@data
0.130954,0.998921,0.886591
0.321588,0.997843,0.145859
0.692528,0.513484,0.092289
0.272466,0.745415,0.308877
0.156118,0.607843,0
0.824367,0.98902,0.325973
0.602321,0.611765,0.265019
1,0.683922,0.305781
0.008439,0.632157,0.697096
0.010021,0,0.698484
0.829641,0.611765,0.262331
0.824367,0.98902,0.329805
0.697785,0.137255,0.324107
0,0.762353,0.691964
0.805907,1,0.250081
0.980485,0.96549,0.325907
0.49789,0.784314,0.262231
0.156118,0.621176,1
0,0.272941,0.691176
0.750527,0.772549,0.219914
0.7173,0.417255,0.334936
0.686709,0,0.363103
0.049578,0.500392,0.629089
0.602321,0.774118,0.263453
0.602321,0.710588,0.259499
0.782173,0.694902,0.320909
0.029536,0.335686,0.683901
0.785338,0.956863,0.336636
0.864451,0.504314,0.270539
0.800633,0.841569,0.22007
0.810127,0.98902,0.300683
0,0.720784,0.682957
0,0.762353,0.679791
0.008439,0,0.652113
0.319053,0,1
0.583027,0.743119,0.316029
0.318645,0.270642,0.436296
0.226438,0.834862,0.333522
0,1,0.375696
0.226438,0.197248,0.42189
0.583027,0.977064,0.312052
0.351693,0.488532,0.877045
0.48266,0.481651,1
0.23215,0.353211,0.551042
0.376581,0.506881,0.490764
0.334557,0.720183,0.433408
0.219094,0.488532,0.509813
0.226438,0.490826,0.599169
0.426765,0.481651,0.434663
0.323541,0.509174,0.430975
0.824561,0.733945,0.342197
1,0.855505,0.278042
0.083639,0.993119,0.451945
0.914321,0.603211,0.417214
0.325581,0.038991,0.488054
0.251734,1,0.415792
0.583027,0.766055,0.312419
0.992656,0.855505,0.282485
0.583027,0.766055,0.311641
0.29947,0.206422,0
0.002448,0.614679,0.999978
0.345981,0.561927,0.528895
0.158303,0.965596,0.385081
0.362301,0.139908,0.431264
0.208775,1,0.591219
0.880561,0.578773,0.316934
0.505545,0.68325,0.29756
0.63376,0.729685,0.240102
0.707008,0.669983,0.252417
0.901036,0.784411,0.316589
0.294455,0.840796,1
0.874954,0.749585,0.319761
0.203656,0.908789,0.607243
0.814625,0.688226,0.282457
0.857892,0,0.325311
0.694211,0.774461,0.253721
0.203656,0.922056,0.611886
0,0.746269,0
0.573796,0.565506,0.20863
0.481901,0.701493,0.292649
0.001828,0,0
0.901036,0.784411,0.315272
0.71298,0.932007,0.258888
0.864839,0.698176,0.376145
0,0.825871,0
0.203656,0.922056,0.60645
0.68507,0.824212,0.277239
0.203656,0.922056,0.600248
0.208775,0.991708,0.599199
0.203656,0.93864,0.593534
0.874954,0.749585,0.321474
0.211944,0,0.601105
1,0.411277,0.267111
0.008653,0.726368,0
0.053195,0.429825,0.241226
0.050086,0.573935,0.322933
0.786528,0,0.030961
0.132297,0.339599,0.97113
0.529879,0.75188,0.080056
0.132297,0.339599,0.98881
0.479793,0.75188,0.117948
1,0.958647,0.004839
0.764767,0.756892,0.014315
0.389637,0.967419,0.391698
0.040069,0.562657,0.277946
0.959585,1,0.002797
0.527461,0.426065,0.39994
0.430743,0.914787,0.396462
0.084283,0.25188,0.591315
0.513644,0.963659,0.389657
0.115717,0.41604,1
0.499827,0.952381,0.399561
0.496373,0.75188,0.114357
0.998964,0.522556,0.038018
0.132297,0.555138,0.984954
0,0,0.957521
0.07323,0.393484,0.127336
0.053195,0.562657,0.239374
0.071157,0.745614,0.58853
0.764767,0.756892,0
0.132297,0.458647,0.973752
0.040069,0.545113,0.26876
0.986183,0.478697,0.030344
0.513644,0.360902,0.392291
0.529706,0.677494,1
0.300141,0.655839,0.003561
0.374182,0.992266,0.382661
0.839856,0,0.003935
0.874759,0.482599,0.858521
0.954831,0.481825,0.839944
0.220069,0.979118,0.013124
0.107276,0.720031,0.015039
0.442192,1,0.177967
0.737457,0.948183,0.99993
0.613884,0.720031,0.999848
0.801232,0.479505,0.846109
0.667009,0.418407,0.127725
1,0.482599,0.850149
0.984473,0.481825,0.844147
0.48736,0.633411,0.977559
0.984473,0.482599,0.865678
0.259207,0.355762,0.067033
0.973823,0.71307,0.004974
0,0.868523,0.01456
0.536764,0.551431,0.156285
0.392532,0.731632,0.374056
0.254331,0.433101,0.01407
0.442192,0.807425,0.176356
0.18106,0.723125,0.015623
0.244835,0.630317,0.06841
0.268574,0.598608,0
0.095599,0.967517,0.016335
0.442192,0.968291,0.177138
0.797639,0.054138,0.003351
0.855666,0.829451,0
0.286769,0.979201,0.280573
0.232539,0.603993,0.225703
0.146444,0.738769,0.323359
0.300907,1,0.29792
0.291623,0.963394,0.288585
0.291412,0.751248,0.279665
0.081874,0.353577,0.150244
0.569107,0.284526,0.12841
0.5364,0.457571,0.131755
0.071534,0.33777,0.637745
0.661532,0.460899,0.126102
0.257227,0.399334,0.143476
0.266512,0.139767,0.14555
0.296054,0.823627,0.290893
0.291623,0.963394,0.287133
0.085883,0.15391,0.164246
0.085883,0.15391,0.165673
0.277063,0.836106,0.14402
0.268833,0.859401,0.294912
0.064149,0.369384,0.668525
1,0.832779,0.004097
0,0.33777,0.857561
0.132939,0.33777,0.076859
0.28888,0,0.137927
0.081874,0.353577,0.160772
0.082507,0.323627,0.262343
0.296054,0.889351,0.292138
0.669973,0.460067,0.129836
0.074066,0.33777,1
0.0789,0.553571,0.169582
